identity.super	NewName	GermLayer	BaseColor	LightColor	Color	Order	ZFIN
blastomeres	blastomeres	Blast	#880000	#FF0000	#880000	1	https://zfin.org/action/ontology/term/ZFA:0000093
blastula	blastula	Blast	#880000	#FF0000	#9F0000	2	
gastrula	gastrula	Blast	#880000	#FF0000	#B70000	3	
hatching gland	hatching gland	Hypoblast	#880000	#FF0000	#CF0000	4	https://zfin.org/action/ontology/term/ZFA:0000026;https://zfin.org/action/ontology/term/ZFA:0000058;https://zfin.org/action/ontology/term/ZFA:0000004
axial progenitors	axial progenitors	Hypoblast	#880000	#FF0000	#E70000	5	https://zfin.org/action/ontology/term/ZFA:0001378
primordial germ cells	primordial germ cells	PGC	#880000	#FF0000	#FF0000	6	https://zfin.org/action/ontology/term/ZFA:0009288
progenitors	progenitors	Mixture	#9E5400	#eb7f00	#9E5400	7	
mitotic cells	mitotic cells	Mixture	#9E5400	#eb7f00	#A55800	8	
ciliated cells	ciliated cells	Mixture	#9E5400	#eb7f00	#AD5C00	9	https://zfin.org/action/ontology/term/ZFA:0009032
tail bud	tail bud	Mixture	#9E5400	#eb7f00	#B56000	10	https://zfin.org/action/ontology/term/ZFA:0000077;https://zfin.org/action/ontology/term/ZFA:0000038
tail	tail	Mixture	#9E5400	#eb7f00	#BC6500	11	
pharynx	pharynx	pharynx	#9E5400	#eb7f00	#C46900	12	https://zfin.org/action/ontology/term/ZFA:0000056
pharyngeal	pharyngeal	pharynx	#9E5400	#eb7f00	#CC6D00	13	
pharyngeal arch	pharyngeal arch	pharynx	#9E5400	#eb7f00	#D37200	14	https://zfin.org/action/ontology/term/ZFA:0001306
pharyngeal pouch	pharyngeal pouch	pharynx	#9E5400	#eb7f00	#DB7600	15	https://zfin.org/action/ontology/term/ZFA:0001106
pharyngeal ectoderm	pharyngeal ectoderm	pharynx	#9E5400	#eb7f00	#E37A00	16	https://zfin.org/action/ontology/term/ZFA:0001379
gill	gill	pharynx	#9E5400	#eb7f00	#EB7F00	17	https://zfin.org/action/ontology/term/ZFA:0000354;https://zfin.org/action/ontology/term/ZFA:0001107;https://zfin.org/action/ontology/term/ZFA:0001106;https://zfin.org/action/ontology/term/ZFA:0001104
ectoderm	ectoderm	NeuEcto	#016433	#60E6B0	#016433	18	
neural plate	neural plate	NeuEcto	#016433	#60E6B0	#036635	19	https://zfin.org/action/ontology/term/ZFA:0000063
neural crest	neural crest	NeuEcto	#016433	#60E6B0	#056938	20	https://zfin.org/action/ontology/term/ZFA:0000132;https://zfin.org/action/ontology/term/ZFA:0007082
lateral line primordium	lateral line primordium	NeuEcto	#016433	#60E6B0	#076C3B	21	https://zfin.org/action/ontology/term/ZFA:0000228;https://zfin.org/action/ontology/term/ZFA:0000034
spinal cord	spinal cord	NeuEcto	#016433	#60E6B0	#096F3E	22	https://zfin.org/action/ontology/term/ZFA:0000075
floor plate	floor plate	NeuEcto	#016433	#60E6B0	#0B7240	23	https://zfin.org/action/ontology/term/ZFA:0000022
midbrain-hindbrain boundary	midbrain-hindbrain boundary	NeuEcto	#016433	#60E6B0	#0D7543	24	https://zfin.org/action/ontology/term/GO:0030917
telencephalon	telencephalon	NeuEcto	#016433	#60E6B0	#0F7846	25	https://zfin.org/action/ontology/term/ZFA:0000079
ventral forebrain	ventral forebrain	NeuEcto	#016433	#60E6B0	#117B49	26	https://zfin.org/action/ontology/term/ZFA:0000109
diencephalon	diencephalon	NeuEcto	#016433	#60E6B0	#147E4C	27	https://zfin.org/action/ontology/term/ZFA:0000101
preoptic area	preoptic area	NeuEcto	#016433	#60E6B0	#16804E	28	https://zfin.org/action/ontology/term/ZFA:0000470
midbrain	midbrain	NeuEcto	#016433	#60E6B0	#188351	29	https://zfin.org/action/ontology/term/ZFA:0000128
optic tectum	optic tectum	NeuEcto	#016433	#60E6B0	#1A8654	30	https://zfin.org/action/ontology/term/ZFA:0000445
hindbrain	hindbrain	NeuEcto	#016433	#60E6B0	#1C8957	31	https://zfin.org/action/ontology/term/ZFA:0000029
cerebellum	cerebellum	NeuEcto	#016433	#60E6B0	#1E8C59	32	https://zfin.org/action/ontology/term/ZFA:0000100
epiphysis	epiphysis	NeuEcto	#016433	#60E6B0	#208F5C	33	https://zfin.org/ZDB-TERM-100331-19#
pinealocytes	pinealocytes	NeuEcto	#016433	#60E6B0	#22925F	34	https://zfin.org/action/ontology/term/ZFA:0009284
epiphysis photoreceptor cells	epiphysis photoreceptor cells	NeuEcto	#016433	#60E6B0	#249562	35	https://zfin.org/ZDB-TERM-100331-19#
optic field	optic field	NeuEcto	#016433	#60E6B0	#279865	36	https://zfin.org/action/ontology/term/ZFA:0000570
optic primordia	optic primordia	NeuEcto	#016433	#60E6B0	#299A67	37	https://zfin.org/action/ontology/term/ZFA:0000570
optic cup	optic cup	NeuEcto	#016433	#60E6B0	#2B9D6A	38	https://zfin.org/action/ontology/term/ZFA:0001202
retinal pigmented epithelium	retinal pigmented epithelium	NeuEcto	#016433	#60E6B0	#2DA06D	39	https://zfin.org/action/ontology/term/ZFA:0000144
retina	retina	NeuEcto	#016433	#60E6B0	#2FA370	40	https://zfin.org/action/ontology/term/ZFA:0000152
retinal progenitors	retinal progenitors	NeuEcto	#016433	#60E6B0	#31A672	41	https://zfin.org/action/ontology/term/ZFA:0000152
newborn neurons (Muller glia progeny)	Muller glia progeny	NeuEcto	#016433	#60E6B0	#33A975	42	https://zfin.org/action/ontology/term/ZFA:0009073
photoreceptors	photoreceptors	NeuEcto	#016433	#60E6B0	#35AC78	43	https://zfin.org/ZFA:0009127
rod photoreceptors	rod photoreceptors	NeuEcto	#016433	#60E6B0	#37AF7B	44	https://zfin.org/ZFA:0009127
retinal ganglion cells	retinal ganglion cells	NeuEcto	#016433	#60E6B0	#3AB27D	45	https://zfin.org/ZDB-TERM-100331-2367
retinal bipolar cells	retinal bipolar cells	NeuEcto	#016433	#60E6B0	#3CB480	46	https://zfin.org/action/ontology/term/ZFA:0009322
horizontal cells	horizontal cells	NeuEcto	#016433	#60E6B0	#3EB783	47	https://zfin.org/action/ontology/term/ZFA:0009315
retinal interneurons	retinal interneurons	NeuEcto	#016433	#60E6B0	#40BA86	48	https://zfin.org/action/ontology/term/ZFA:0000152
neurons	neurons	NeuEcto	#016433	#60E6B0	#42BD89	49	https://zfin.org/action/ontology/term/ZFA:0009248
sensory neurons	sensory neurons	NeuEcto	#016433	#60E6B0	#44C08B	50	https://zfin.org/action/ontology/term/ZFA:0009053
enteric neurons	enteric neurons	NeuEcto	#016433	#60E6B0	#46C38E	51	https://zfin.org/action/ontology/term/ZFA:0005775
motor neurons	motor neurons	NeuEcto	#016433	#60E6B0	#48C691	52	https://zfin.org/action/ontology/term/ZFA:0009052
Kolmer-Agduhr / CSF-contacting neurons	Kolmer-Agduhr neurons	NeuEcto	#016433	#60E6B0	#4AC994	53	https://zfin.org/action/ontology/term/ZFA:0005240
Purkinje neurons	Purkinje neurons	NeuEcto	#016433	#60E6B0	#4DCC97	54	https://zfin.org/action/ontology/term/ZFA:0009071
radial glia	radial glia	NeuEcto	#016433	#60E6B0	#4FCE99	55	https://zfin.org/action/ontology/term/ZFA:0009292
radial glia (+ some floor plate)	radial glia	NeuEcto	#016433	#60E6B0	#4FCE99	55	https://zfin.org/action/ontology/term/ZFA:0009292
oligodendrocytes	oligodendrocytes	NeuEcto	#016433	#60E6B0	#51D19C	57	https://zfin.org/action/ontology/term/ZFA:0009076#
melanoblasts	melanoblasts	NeuEcto	#016433	#60E6B0	#53D49F	58	https://zfin.org/action/ontology/term/ZFA:0009249
melanocytes	melanocytes	NeuEcto	#016433	#60E6B0	#55D7A2	59	https://zfin.org/action/ontology/term/ZFA:0009091
