Symbol	TestNum	SigNum	HarmonicP	SigProp	MR
evplb	22	18	0.00215583499861401	0.818181818181818	8.71779788708135
gpx1a	24	18	0.00244403022623977	0.75	9.8488578017961
krt92	23	17	0.00264463801087489	0.739130434782609	18.3303027798234
ppl	24	17	0.00310908129344669	0.708333333333333	24.4948974278318
pgam1a	24	17	0.00330772530814284	0.708333333333333	25.8650343127551
bida	24	17	0.00337602003615337	0.708333333333333	26.4952825989835
glrx5	24	17	0.00352779498012305	0.708333333333333	28.1957443597434
arpc1b	24	17	0.0040250447279795	0.708333333333333	33.4065861769801
cyt1	24	17	0.00412048241846562	0.708333333333333	34.117444218464
hbbe1.3	23	16	0.00281308190016933	0.695652173913043	38.3927076409049
ponzr5	19	16	0.0028160300471787	0.842105263157895	38.5356977359954
icn	24	17	0.00473915395616027	0.708333333333333	39.5727178748188
c4	1	1	0.000999000999000999	1	41.7971290880127
dgat2	1	1	0.000999000999000999	1	41.7971290880127
gfod2	1	1	0.000999000999000999	1	41.7971290880127
gna15.3.1	1	1	0.000999000999000999	1	41.7971290880127
gpr39	1	1	0.000999000999000999	1	41.7971290880127
grap2b	1	1	0.000999000999000999	1	41.7971290880127
mfsd4aa	1	1	0.000999000999000999	1	41.7971290880127
prss60.3	1	1	0.000999000999000999	1	41.7971290880127
si:ch211-121a2.4	1	1	0.000999000999000999	1	41.7971290880127
si:ch211-237a4.2.1	1	1	0.000999000999000999	1	41.7971290880127
si:dkey-185m8.2	1	1	0.000999000999000999	1	41.7971290880127
si:dkey-35h6.1	1	1	0.000999000999000999	1	41.7971290880127
si:dkeyp-97a10.2	1	1	0.000999000999000999	1	41.7971290880127
anxa1d	17	15	0.00238203803730504	0.882352941176471	43.4741302385683
ak3	23	16	0.00306698029429389	0.695652173913043	45.8366665454634
scel	22	15	0.00248992428132583	0.681818181818182	46.0543157586778
tm9sf5	22	16	0.0032727872019943	0.727272727272727	49.0815647672321
si:ch73-204p21.2	18	15	0.0027473900696178	0.833333333333333	51.6430053347014
hbbe1.2	20	15	0.0029444773177611	0.75	56.3116329012043
fth1a	24	16	0.00378243986538747	0.666666666666667	58.5832740635072
hbae3	24	16	0.00378518928642678	0.666666666666667	58.6770824087224
hbae1.3	20	15	0.0030179976322242	0.75	63
anxa1c	20	16	0.00403494323590791	0.8	64.3117407632541
tspo	24	15	0.00313067674212238	0.625	65.4522726878143
si:ch211-125o16.4	20	16	0.00414965368203673	0.8	65.916613990708
cyp3a65	22	15	0.00331632335814149	0.681818181818182	68.7386354243376
si:ch211-157c3.4	20	15	0.00344746167584726	0.75	72.6016528737466
rac2	24	15	0.00344810463378871	0.625	72.7461339178928
fam210b	24	15	0.00350415106515444	0.625	73.7495762699692
zgc:165423	14	13	0.00204415633813679	0.928571428571429	74.899933244296
ezra	15	13	0.00205700614949401	0.866666666666667	75.4652237789036
aldob	24	15	0.00355228508560181	0.625	75.7165767847438
eno3	24	15	0.00361938339343306	0.625	77.6337555448659
zgc:56095	24	14	0.00287454619764501	0.583333333333333	79.3221280602078
hbae1.3.1	19	14	0.00294487569715355	0.736842105263158	81.7801932010435
hbbe1.1	19	13	0.00239151806105364	0.684210526315789	88.4307638777366
gsto2	24	15	0.00408318792596701	0.625	89.3308457365092
psma6l	23	15	0.004095764093504	0.652173913043478	89.4483090952534
dhrs13a.2	22	16	0.00553393298148627	0.727272727272727	90.5262392900534
bicdl2l	22	15	0.00415502685410013	0.681818181818182	91.4220979851152
s100v1	23	16	0.0055968446417605	0.695652173913043	91.4931691439312
nt5c2l1	13	11	0.00199808014706345	0.846153846153846	91.6733330909267
lgals2b	24	15	0.00429374876212739	0.625	94.4722181384559
faxdc2	24	15	0.00458320011806609	0.625	101.23240587875
si:ch73-347e22.8	22	15	0.00472683703363377	0.681818181818182	104.196928937469
apodb	20	14	0.00354932081168991	0.7	109.19706955775
hbae1.1	18	13	0.00288889332037177	0.722222222222222	111.018016555873
prdx2	24	14	0.00361795685899466	0.583333333333333	112.178429299041
si:dkey-100n23.3	23	15	0.0050979679774055	0.652173913043478	114.930413729352
blvrb	24	14	0.0037359402450866	0.583333333333333	115.082579046526
nudt9	24	15	0.0051456895567296	0.625	115.931013969516
stard14	24	15	0.00516929480698992	0.625	116.20240961357
alas2	12	11	0.00207927663638365	0.916666666666667	116.451706728583
mibp	16	12	0.0025619710104777	0.75	116.935879865848
krt1-19d	17	11	0.0021496491588341	0.647058823529412	118.88650049522
si:dkey-222n6.2	18	14	0.00392093484708648	0.777777777777778	121.045446010992
hbbe2	23	14	0.00399075529063705	0.608695652173913	123.385574521497
hemgn	14	12	0.00269743881031966	0.857142857142857	124.935983607606
trim108	10	7	0.00139680948579261	0.7	124.979998399744
cyp1a	9	8	0.00169888229340185	0.888888888888889	125.211820528255
pck2	22	14	0.00399931793339555	0.636363636363636	127.074781133001
krt17	24	15	0.00562952319454631	0.625	127.491176165255
cnot6l	24	14	0.00402299762197498	0.583333333333333	127.765410029476
fam49ba	22	14	0.00407007416222528	0.636363636363636	128.965111561228
fam53b	24	14	0.00409733231228666	0.583333333333333	129.815253341046
rnf183	18	12	0.0028037909464172	0.666666666666667	130.491379025589
ENSDARG00000078775	24	15	0.00587505258222147	0.625	132.340470000677
uros	17	13	0.00321741748018406	0.764705882352941	134.554821541259
dhdhl	22	13	0.00330246320355685	0.590909090909091	137.36811857196
rmdn1	24	14	0.00442111260789067	0.583333333333333	140.712472794703
eps8l3a	3	3	0.0011989210309882	1	141.046091757269
eps8l3b	3	3	0.0011989210309882	1	141.046091757269
agr1	24	14	0.00448332368504328	0.583333333333333	142.884568795934
arl6ip1	24	14	0.00453812557713611	0.583333333333333	144.872357611796
si:ch211-262i1.3	5	5	0.00139411417458542	1	146.914941377656
creg1	24	14	0.00464671302222022	0.583333333333333	148.175571535932
bnip3lb	24	14	0.00466143235260622	0.583333333333333	148.620321625274
tmem14ca	24	14	0.00467180948105077	0.583333333333333	148.91608375189
impdh2	22	14	0.00470076792329283	0.636363636363636	149.505852728246
cfap36	3	3	0.00128455211265034	1	150.784614599766
dhcr7	21	13	0.00356588285120044	0.619047619047619	153.166575988366
