NodeLabel	Cluster	Type	AncLabel	Tree	UStage
A127.HMF10|Node2767/82.5/89	12	LUG	A127.HMF10|Node2767/82.5/89	A127.HMF10	 24-34|progenitors
A127.HMF10|Node2770/82.7/99	4	LUG	A127.HMF10|Node2770/82.7/99	A127.HMF10	120|hematopoietic stem cell
A127.HMF10|Node2778/90.8/100	23	LUG	A127.HMF10|Node2778/90.8/100	A127.HMF10	 36-46|progenitors
A127.HMF10|Node2740/85.6/96	4	LUG	A127.HMF10|Node2740/85.6/96	A127.HMF10	 48-58|hematopoietic stem cell
A127.HMF10|Node2743/78.7/93	4	LUG	A127.HMF10|Node2743/78.7/93	A127.HMF10	108-118|macrophages
A127.HMF10|Node2752/0/13	4	LUG	A127.HMF10|Node2752/0/13	A127.HMF10	108-118|macrophages
A127.HMF10|Node2754/85.3/100	4	LUG	A127.HMF10|Node2754/85.3/100	A127.HMF10	 24-34|macrophages
A127.HMF10|Node2650/78.6/25	9	LUG	A127.HMF10|Node2650/78.6/25	A127.HMF10	 48-58|photoreceptors
A127.HMF10|Node2658/84.5/92	8	LUG	A127.HMF10|Node2658/84.5/92	A127.HMF10	120|periderm
A127.HMF10|Node2661/88.6/98	8	LUG	A127.HMF10|Node2661/88.6/98	A127.HMF10	120|periderm
A127.HMF10|Node2663/66.1/59	5	LUG	A127.HMF10|Node2663/66.1/59	A127.HMF10	108-118|liver
A127.HMF10|Node2665/0/33	8	LUG	A127.HMF10|Node2665/0/33	A127.HMF10	120|periderm
A127.HMF10|Node2632/85.5/100	3	LUG	A127.HMF10|Node2632/85.5/100	A127.HMF10	 60-70|retinal bipolar cells
A127.HMF10|Node2635/0/97	4	LUG	A127.HMF10|Node2635/0/97	A127.HMF10	108-118|granulocytes
A127.HMF10|Node2637/76.7/90	19	LUG	A127.HMF10|Node2637/76.7/90	A127.HMF10	108-118|cerebellum
A127.HMF10|Node2643/89.4/100	19	LUG	A127.HMF10|Node2643/89.4/100	A127.HMF10	108-118|cerebellum
A127.HMF10|Node2592/77.1/58	20	LUG	A127.HMF10|Node2592/77.1/58	A127.HMF10	108-118|progenitors
A127.HMF10|Node2594/80.5/97	20	Legacy	A127.HMF10|Node2592/77.1/58	A127.HMF10	108-118|progenitors
A127.HMF10|Node2598/79/98	19	LUG	A127.HMF10|Node2598/79/98	A127.HMF10	 96-106|neurons
A127.HMF10|Node2599/77.4/93	19	LUG	A127.HMF10|Node2599/77.4/93	A127.HMF10	 96-106|neurons
A127.HMF10|Node2585/84.1/81	6	LUG	A127.HMF10|Node2585/84.1/81	A127.HMF10	108-118|stromal cells
A127.HMF10|Node2579/78.3/100	20	LUG	A127.HMF10|Node2579/78.3/100	A127.HMF10	 48-58|pharyngeal arch
A127.HMF10|Node2581/95/100	6	LUG	A127.HMF10|Node2581/95/100	A127.HMF10	108-118|stromal cells
A127.HMF10|Node2584/0/99	20	LUG	A127.HMF10|Node2584/0/99	A127.HMF10	108-118|stromal cells
A127.HMF10|Node2609/92.7/100	1	LUG	A127.HMF10|Node2609/92.7/100	A127.HMF10	108-118|retinal bipolar cells
